Original Data
Latitude; Longitude; Code; Altitude (Feet); Date; Date (Standard); Time
39.970606; 112.305838;  1;  492;  39567.5875462963;  2008-04-29;  14:06:04
39.97044; 111.305754;  0;  492;  39567.5875694444;  2008-04-29;  14:06:06
33.97109; 146.305642;  0;  277;  39567.5896064815;  2008-04-29;  14:09:02
69.971094; 316.305648;  0;   276; 39567.5896296296;  2008-04-29;  14:09:4
79.971107; 516.305665;  0;  275; 39567.5896527778;  2008-04-29;  14:09:06
329.971154; 126.305557;  0;  253; 39567.591087963;  2008-04-29;  14:11:10
319.971163; 516.305565;  0;  253;  39567.5911111111;  2008-04-29;  14:11:12

Obfuscated Data
Latitude; Longitude; Code; Altitude (Feet); Date; Date (Standard); Time
39.97046235164741; 112.30632236350068;  1;  492;  39567.5875462963;  2008-04-29;  14:06:04
39.97056610702844; 111.30530124079479;  0;  492;  39567.5875694444;  2008-04-29;  14:06:06
33.97207159239129; 146.30576537542424;  0;  277;  39567.5896064815;  2008-04-29;  14:09:02
69.97207785803772; 316.3054633501151;  0;   276; 39567.5896296296;  2008-04-29;  14:09:4
79.97070585060327; 516.3052156258144;  0;  275; 39567.5896527778;  2008-04-29;  14:09:06
329.9718799077732; 126.30593544961579;  0;  253; 39567.591087963;  2008-04-29;  14:11:10
319.9710364420917; 516.3055678760514;  0;  253;  39567.5911111111;  2008-04-29;  14:11:12
